title,genre,director,cast
Everything Everywhere All at Once,"Action, Adventure, Comedy",Daniel Kwan,"Daniel Scheinert, Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan"
Van Helsing,"Action, Adventure, Fantasy",Stephen Sommers,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh, Shuler Hensley"
The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom"
The Silence of the Lambs,"Crime, Drama, Thriller",Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine"
Midsommar,"Drama, Horror, Mystery",Ari Aster,"Florence Pugh, Jack Reynor, Vilhelm Blomgren, William Jackson Harper"
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure",Joaquim Dos Santos,"Kemp Powers, Justin K. Thompson, Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez"
Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",James Wan,"Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II, Amber Heard"
Triangle of Sadness,"Comedy, Drama",Ruben Östlund,"Thobias Thorwid, Harris Dickinson, Charlbi Dean, Jiannis Moustos"
Rogue One,"Action, Adventure, Sci-Fi",Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen"
American Beauty,Drama,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley"
Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson"
